participant_id,video_id,rgb_n_frames,flow_n_frames
P03,P03_05,13465,6732
P03,P03_06,6554,3276
P03,P03_07,6438,3218
P03,P03_08,1772,885
P03,P03_09,37569,18784
P03,P03_10,6172,3085
P03,P03_11,3164,1581
P03,P03_12,1300,649
P03,P03_13,3364,1681
P03,P03_14,15611,7805
P03,P03_15,635,317
P03,P03_16,16307,8153
P03,P03_17,8937,4468
P03,P03_18,1459,729
P03,P03_19,33027,16513
P03,P03_20,21643,10821
P03,P03_21,1920,959
P03,P03_22,3687,1843
P03,P03_23,30585,15292
P03,P03_24,49313,24656
P03,P03_25,2237,1118
P03,P03_26,674,336
P03,P03_27,5835,2917
P03,P03_28,5138,2568
P03,P03_101,42652,42652
P03,P03_102,8444,8444
P03,P03_103,83420,83420
P03,P03_104,20562,20562
P03,P03_105,10272,10272
P03,P03_106,4455,4455
P03,P03_107,12728,12728
P03,P03_108,2140,2140
P03,P03_109,56707,56707
P03,P03_110,909,909
P03,P03_111,3720,3720
P03,P03_112,25402,25402
P03,P03_113,7420,7420
P03,P03_114,1386,1386
P03,P03_115,1115,1115
P03,P03_116,2869,2869
P03,P03_117,36147,36147
P03,P03_118,6310,6310
P03,P03_119,33623,33623
P03,P03_120,40738,40738
P03,P03_121,19421,19421
P03,P03_122,1910,1910
P03,P03_123,15961,15961
P04,P04_01,69292,34645
P04,P04_02,86263,43131
P04,P04_03,48115,24057
P04,P04_04,51494,25746
P04,P04_05,124128,62063
P04,P04_06,47301,23650
P04,P04_07,7383,3691
P04,P04_08,4967,2483
P04,P04_09,24689,12344
P04,P04_10,68512,34255
P04,P04_11,14487,7243
P04,P04_12,9644,4821
P04,P04_13,18862,9430
P04,P04_14,5268,2633
P04,P04_15,1497,748
P04,P04_16,13028,6513
P04,P04_17,8873,4436
P04,P04_18,7493,3746
P04,P04_19,937,468
P04,P04_20,5535,2767
P04,P04_21,11835,5917
P04,P04_22,10288,5143
P04,P04_23,59925,29962
P04,P04_24,30129,15064
P04,P04_25,22897,11448
P04,P04_26,2219,1109
P04,P04_27,6295,3147
P04,P04_28,9516,4757
P04,P04_29,25531,12765
P04,P04_30,18768,9383
P04,P04_31,49533,24766
P04,P04_32,3218,1608
P04,P04_33,11052,5525
P04,P04_101,27478,27478
P04,P04_102,7770,7770
P04,P04_103,3365,3365
P04,P04_104,34239,34239
P04,P04_105,94124,94124
P04,P04_106,12669,12669
P04,P04_107,74190,74190
P04,P04_108,8986,8986
P04,P04_109,49031,49031
P04,P04_110,36122,36122
P04,P04_111,7758,7758
P04,P04_112,24565,24565
P04,P04_113,59127,59127
P04,P04_114,8006,8006
P04,P04_115,12919,12919
P04,P04_116,28686,28686
P04,P04_117,16758,16758
P04,P04_118,7434,7434
P04,P04_119,42555,42555
P04,P04_120,41735,41735
P04,P04_121,84665,84665
P04,P04_122,11148,11148
P04,P04_123,65070,65070
P05,P05_01,21952,10975
P05,P05_02,20313,10156
P05,P05_03,61996,30997
P05,P05_04,23311,11655
P05,P05_05,9346,4672
P05,P05_06,18663,9331
P05,P05_07,48118,24058
P05,P05_08,76842,38420
P05,P05_09,25272,12635
P06,P06_01,5432,2715
P06,P06_02,843,421
P06,P06_03,41170,20584
P06,P06_04,1213,606
P06,P06_05,86663,43331
P06,P06_06,4775,2387
P06,P06_07,63722,31860
P06,P06_08,1846,922
P06,P06_09,80693,40346
P06,P06_10,14585,7292
P06,P06_11,4624,2311
P06,P06_12,11643,5821
P06,P06_13,14428,7213
P06,P06_14,6049,3024
P06,P06_101,92959,92959
P06,P06_102,36665,36665
P06,P06_103,41986,41986
P06,P06_104,7625,7625
P06,P06_105,5391,5391
P06,P06_106,8632,8632
P06,P06_107,14568,14568
P06,P06_108,36439,36439
P06,P06_109,1925,1925
P06,P06_110,3820,3820
P06,P06_111,42558,42558
P06,P06_112,5049,5049
P06,P06_113,15471,15471
P07,P07_01,6554,3276
P07,P07_02,6720,3359
P07,P07_03,15770,7884
P07,P07_04,49518,24758
P07,P07_05,12580,6289
P07,P07_06,8460,4229
P07,P07_07,19891,9945
P07,P07_08,10388,5193
P07,P07_09,20395,10197
P07,P07_10,123629,61814
P07,P07_11,13401,6700
P07,P07_12,14167,7083
P07,P07_13,3646,1822
P07,P07_14,15426,7712
P07,P07_15,6807,3403
P07,P07_16,9790,4894
P07,P07_17,7982,3990
P07,P07_18,2439,1219
P07,P07_101,24059,24059
P07,P07_102,10264,10264
P07,P07_103,2469,2469
P07,P07_104,4853,4853
P07,P07_105,2332,2332
P07,P07_106,814,814
P07,P07_107,8802,8802
P07,P07_108,15305,15305
P07,P07_109,7240,7240
P07,P07_110,13017,13017
P07,P07_111,6509,6509
P07,P07_112,4371,4371
P07,P07_113,26225,26225
P07,P07_114,9246,9246
P07,P07_115,10624,10624
P07,P07_116,4341,4341
P07,P07_117,18695,18695
P08,P08_01,36933,18466
P08,P08_02,6451,3225
P08,P08_03,9004,4501
P08,P08_04,12319,6159
P08,P08_05,105232,52615
P08,P08_06,29204,14601
P08,P08_07,1446,722
P08,P08_08,8666,4332
P08,P08_09,37235,18617
P08,P08_10,14552,7275
P08,P08_11,11733,5866
P08,P08_12,2030,1014
P08,P08_13,1456,727
P08,P08_14,9121,4560
P08,P08_15,33805,16902
P08,P08_16,35353,17676
P08,P08_17,35172,17585
P08,P08_18,29985,14992
P08,P08_19,8261,4130
P08,P08_20,12454,6226
P08,P08_21,84412,42205
P08,P08_22,7762,3880
P08,P08_23,91854,45926
P08,P08_24,34434,17216
P08,P08_25,1303,651
P08,P08_26,24561,12280
P08,P08_27,11174,5586
P08,P08_28,2053,1026
P09,P09_01,860,429
P09,P09_02,22187,11093
P09,P09_03,8781,4390
P09,P09_04,6136,3067
P09,P09_05,16067,8033
P09,P09_06,24241,12120
P09,P09_07,3325,1662
P09,P09_08,7599,3799
P09,P09_101,22914,22914
P09,P09_102,17803,17803
P09,P09_103,37184,37184
P09,P09_104,27697,27697
P09,P09_105,6694,6694
P09,P09_106,7472,7472
P10,P10_01,54766,27382
P10,P10_02,73368,36683
P10,P10_03,110553,55276
P10,P10_04,201604,100801
P11,P11_01,10903,5451
P11,P11_02,2171,1085
P11,P11_03,8200,4099
P11,P11_04,17331,8665
P11,P11_05,109292,54645
P11,P11_06,2309,1154
P11,P11_07,1598,798
P11,P11_08,3592,1795
P11,P11_09,20839,10419
P11,P11_10,1287,643
P11,P11_11,3986,1992
P11,P11_12,3008,1503
P11,P11_13,3794,1896
P11,P11_14,1654,826
P11,P11_15,29440,14719
P11,P11_16,21238,10618
P11,P11_17,31293,15646
P11,P11_18,2281,1140
P11,P11_19,5125,2562
P11,P11_20,33580,16789
P11,P11_21,1843,921
P11,P11_22,14121,7060
P11,P11_23,3776,1887
P11,P11_24,5020,2509
P11,P11_101,9208,9208
P11,P11_102,17180,17180
P11,P11_103,11347,11347
P11,P11_104,43090,43090
P11,P11_105,16687,16687
P11,P11_106,37414,37414
P11,P11_107,6290,6290
P11,P11_108,1822,1822
P11,P11_109,10693,10693
P12,P12_01,24715,12357
P12,P12_02,111248,55623
P12,P12_03,87963,43981
P12,P12_04,114748,57373
P12,P12_05,3640,1819
P12,P12_06,10221,5110
P12,P12_07,47081,23540
P12,P12_08,13345,6672
P12,P12_101,102297,102297
P12,P12_102,59518,59518
P12,P12_103,32050,32050
P12,P12_104,56844,56844
P12,P12_105,15985,15985
P13,P13_01,33241,16620
P13,P13_02,4155,2077
P13,P13_03,21020,10509
P13,P13_04,14892,7445
P13,P13_05,23875,11937
P13,P13_06,6690,3344
P13,P13_07,9736,4867
P13,P13_08,147913,73956
P13,P13_09,32463,16231
P13,P13_10,10604,5301
P14,P14_01,6264,3131
P14,P14_02,1943,971
P14,P14_03,1206,602
P14,P14_04,8453,4226
P14,P14_05,4275,2137
P14,P14_06,3879,1939
P14,P14_07,5422,2710
P14,P14_08,23888,11943
P14,P14_09,15201,7600
P15,P15_01,2819,1409
P15,P15_02,41718,20858
P15,P15_03,19822,9910
P15,P15_04,28278,14138
P15,P15_05,6328,3163
P15,P15_06,30216,15107
P15,P15_07,12434,6216
P15,P15_08,33160,16579
P15,P15_09,23183,11591
P15,P15_10,11856,5927
P15,P15_11,1657,828
P15,P15_12,3689,1844
P15,P15_13,57787,28893
P16,P16_01,74592,37295
P16,P16_02,3348,1673
P16,P16_03,12798,6398
P16,P16_04,55796,27897
P17,P17_01,9382,4690
P17,P17_02,32754,16376
P17,P17_03,58648,29323
P17,P17_04,63852,31925
P18,P18_01,9992,4995
P18,P18_02,11435,5717
P18,P18_03,25652,12825
P18,P18_04,12232,6115
P18,P18_05,35661,17830
P18,P18_06,24986,12492
P18,P18_07,14410,7204
P18,P18_08,3996,1997
P18,P18_09,16622,8310
P18,P18_10,8694,4346
P18,P18_11,24617,12308
P18,P18_12,12480,6239
P19,P19_01,46846,23422
P19,P19_02,4416,2207
P19,P19_03,8182,4090
P19,P19_04,54853,27426
P19,P19_05,4767,2383
P19,P19_06,14021,7010
P20,P20_01,82715,41357
P20,P20_02,25698,12848
P20,P20_03,12790,6394
P20,P20_04,135072,67535
P20,P20_05,28035,14017
P20,P20_06,16366,8182
P20,P20_07,6085,3042
P21,P21_01,41583,20791
P21,P21_02,29442,14720
P21,P21_03,35164,17581
P21,P21_04,34161,17080
P22,P22_01,65484,32741
P22,P22_02,30530,15264
P22,P22_03,71284,35641
P22,P22_04,23350,11674
P22,P22_05,74169,37084
P22,P22_06,26683,13341
P22,P22_07,130843,65421
P22,P22_08,55275,27637
P22,P22_09,25616,12807
P22,P22_10,57711,28855
P22,P22_11,25627,12813
P22,P22_12,41139,20569
P22,P22_13,30031,15015
P22,P22_14,42214,21106
P22,P22_15,36547,18273
P22,P22_16,87707,43853
P22,P22_17,78240,39119
P22,P22_101,18348,18348
P22,P22_102,11512,11512
P22,P22_103,39696,39696
P22,P22_104,31571,31571
P22,P22_105,3451,3451
P22,P22_106,25591,25591
P22,P22_107,29055,29055
P22,P22_108,10863,10863
P22,P22_109,100444,100444
P22,P22_110,20271,20271
P22,P22_111,77405,77405
P22,P22_112,19715,19715
P22,P22_113,34120,34120
P22,P22_114,88738,88738
P22,P22_115,24710,24710
P22,P22_116,24811,24811
P22,P22_117,48595,48595
P23,P23_01,5517,2758
P23,P23_02,100100,50049
P23,P23_03,21842,10920
P23,P23_04,134852,67425
P23,P23_05,70140,35069
P23,P23_101,87309,87309
P23,P23_102,178480,178480
P23,P23_103,104974,104974
P24,P24_01,43520,21759
P24,P24_02,48730,24364
P24,P24_03,29378,14688
P24,P24_04,29635,14817
P24,P24_05,96060,48029
P24,P24_06,33984,16991
P24,P24_07,54695,27347
P24,P24_08,90779,45389
P24,P24_09,118122,59060
P25,P25_01,6913,3456
P25,P25_02,15223,7611
P25,P25_03,10907,5453
P25,P25_04,35660,17829
P25,P25_05,89511,44755
P25,P25_06,12443,6221
P25,P25_07,16522,8260
P25,P25_08,9627,4813
P25,P25_09,52584,26291
P25,P25_10,22483,11241
P25,P25_11,22709,11354
P25,P25_12,5769,2884
P25,P25_101,21797,21797
P25,P25_102,24893,24893
P25,P25_103,24776,24776
P25,P25_104,40510,40510
P25,P25_105,77385,77385
P25,P25_106,80995,80995
P25,P25_107,110652,110652
P26,P26_01,4789,2394
P26,P26_02,27888,13943
P26,P26_03,18756,9377
P26,P26_04,8734,4366
P26,P26_05,2733,1366
P26,P26_06,1643,821
P26,P26_07,1468,733
P26,P26_08,3107,1553
P26,P26_09,7335,3667
P26,P26_10,8050,4024
P26,P26_11,5895,2947
P26,P26_12,1125,562
P26,P26_13,7399,3699
P26,P26_14,1952,975
P26,P26_15,2152,1075
P26,P26_16,3911,1955
P26,P26_17,3990,1994
P26,P26_18,26894,13446
P26,P26_19,28325,14162
P26,P26_20,2256,1127
P26,P26_21,27934,13966
P26,P26_22,8418,4208
P26,P26_23,5139,2569
P26,P26_24,3512,1755
P26,P26_25,2366,1182
P26,P26_26,4228,2113
P26,P26_27,1686,842
P26,P26_28,7925,3962
P26,P26_29,3334,1666
P26,P26_30,923,461
P26,P26_31,5408,2703
P26,P26_32,4912,2455
P26,P26_33,2292,1145
P26,P26_34,6429,3214
P26,P26_35,9870,4934
P26,P26_36,12600,6299
P26,P26_37,3788,1893
P26,P26_38,3493,1746
P26,P26_39,3411,1705
P26,P26_40,4187,2093
P26,P26_41,7011,3505
P26,P26_101,5015,5015
P26,P26_102,9102,9102
P26,P26_103,29977,29977
P26,P26_104,34505,34505
P26,P26_105,24512,24512
P26,P26_106,4428,4428
P26,P26_107,8184,8184
P26,P26_108,9790,9790
P26,P26_109,1295,1295
P26,P26_110,13241,13241
P26,P26_111,8615,8615
P26,P26_112,19879,19879
P26,P26_113,3448,3448
P26,P26_114,2881,2881
P26,P26_115,10325,10325
P26,P26_116,10017,10017
P26,P26_117,35627,35627
P26,P26_118,20712,20712
P26,P26_119,34738,34738
P26,P26_120,9894,9894
P26,P26_121,5694,5694
P26,P26_122,15288,15288
P26,P26_123,23494,23494
P26,P26_124,38716,38716
P27,P27_01,16935,8467
P27,P27_02,10888,5443
P27,P27_03,5886,2942
P27,P27_04,19879,9939
P27,P27_05,36931,18465
P27,P27_06,53968,26983
P27,P27_07,57247,28623
P27,P27_101,68014,68014
P27,P27_102,26147,26147
P27,P27_103,146918,146918
P27,P27_104,52669,52669
P27,P27_105,48892,48892
P28,P28_01,20347,10173
P28,P28_02,30387,15193
P28,P28_03,46956,23477
P28,P28_04,27192,13595
P28,P28_05,31431,15715
P28,P28_06,44647,22323
P28,P28_07,7854,3926
P28,P28_08,20219,10109
P28,P28_09,29950,14974
P28,P28_10,3664,1831
P28,P28_11,19702,9850
P28,P28_12,1629,814
P28,P28_13,8999,4499
P28,P28_14,16740,8369
P28,P28_15,5584,2791
P28,P28_16,18809,9404
P28,P28_17,3753,1876
P28,P28_18,7222,3610
P28,P28_19,5401,2700
P28,P28_20,7337,3668
P28,P28_21,3682,1840
P28,P28_22,8814,4406
P28,P28_23,1516,757
P28,P28_24,4101,2050
P28,P28_25,23819,11909
P28,P28_26,6100,3049
P28,P28_101,35889,35889
P28,P28_102,20833,20833
P28,P28_103,91262,91262
P28,P28_104,35971,35971
P28,P28_105,28591,28591
P28,P28_106,9898,9898
P28,P28_107,2447,2447
P28,P28_108,20669,20669
P28,P28_109,10806,10806
P28,P28_110,6787,6787
P28,P28_111,38209,38209
P28,P28_112,17882,17882
P28,P28_113,26895,26895
P28,P28_114,26760,26760
P28,P28_115,42904,42904
P28,P28_116,28837,28837
P28,P28_117,26702,26702
P28,P28_118,16462,16462
P29,P29_01,81035,40517
P29,P29_02,11620,5809
P29,P29_03,124486,62242
P29,P29_04,10783,5391
P29,P29_05,109310,54654
P29,P29_06,10150,5074
P30,P30_01,4498,2248
P30,P30_02,14269,7134
P30,P30_03,31278,15638
P30,P30_04,42609,21304
P30,P30_05,195726,97862
P30,P30_06,24087,12043
P30,P30_07,18332,9165
P30,P30_08,67334,33666
P30,P30_09,26030,13014
P30,P30_10,47560,23779
P30,P30_11,20683,10341
P30,P30_101,31436,31436
P30,P30_102,63790,63790
P30,P30_103,9222,9222
P30,P30_104,15881,15881
P30,P30_105,5280,5280
P30,P30_106,12486,12486
P30,P30_107,149712,149712
P30,P30_108,28769,28769
P30,P30_109,20912,20912
P30,P30_110,13009,13009
P30,P30_111,92017,92017
P30,P30_112,4049,4049
P30,P30_113,18336,18336
P30,P30_114,6120,6120
P31,P31_01,28527,14263
P31,P31_02,12523,6261
P31,P31_03,16469,8234
P31,P31_04,5800,2899
P31,P31_05,29009,14504
P31,P31_06,11252,5625
P31,P31_07,15144,7571
P31,P31_08,50282,25140
P31,P31_09,15300,7649
P31,P31_10,32411,16205
P31,P31_11,15302,7650
P31,P31_12,12353,6176
P31,P31_13,39502,19750
P31,P31_14,18818,9408
P32,P32_01,29698,14848
P32,P32_02,13354,6676
P32,P32_03,14532,7265
P32,P32_04,21902,10950
P32,P32_05,25584,12791
P32,P32_06,35393,17696
P32,P32_07,1745,872
P32,P32_08,11957,5978
P32,P32_09,16898,8448
P32,P32_10,24370,12184
P33,P33_101,42732,42732
P33,P33_102,27974,27974
P33,P33_103,16700,16700
P33,P33_104,37376,37376
P33,P33_105,110483,110483
P33,P33_106,20590,20590
P33,P33_107,32648,32648
P33,P33_108,11769,11769
P33,P33_109,66185,66185
P33,P33_110,29753,29753
P33,P33_111,21630,21630
P34,P34_101,6025,6025
P34,P34_102,25623,25623
P34,P34_103,11070,11070
P34,P34_104,45616,45616
P34,P34_105,4776,4776
P34,P34_106,7449,7449
P34,P34_107,30617,30617
P34,P34_108,2665,2665
P34,P34_109,14509,14509
P34,P34_110,6738,6738
P34,P34_111,27069,27069
P34,P34_112,48842,48842
P34,P34_113,37356,37356
P35,P35_101,19417,19417
P35,P35_102,88703,88703
P35,P35_103,75628,75628
P35,P35_104,167526,167526
P35,P35_105,107417,107417
P35,P35_106,33887,33887
P35,P35_107,82026,82026
P35,P35_108,150758,150758
P35,P35_109,56478,56478
P36,P36_101,35127,35127
P36,P36_102,39696,39696
P37,P37_101,84077,84077
P37,P37_102,34135,34135
P37,P37_103,19760,19760
